Tweet,Emotion
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear
Inadequacy slithers from her ears and wraps itself around her neck like the boys she wants to love her. #mpy #vss #quote #depression #poetry,sadness
Life izn't about pleasing each others...😕\n\n#hell #with #pleasing,joy
@hesham786 that's the spirit,joy
@_iConceitedOne_  Hi! We hate that you're unhappy your bill keeps going up! What unique features do you want with your plan? ^RobertS,sadness
What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg #levity,joy
Watch this amazing live.ly broadcast by @elise_awsome_11  #musically,joy
second episode of AHS 6 here i go #panic,fear
I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
@happyandbashful @Teigngardener @CEVokins @gardengirllucy Don't provoke the Voke.,anger
@The40Bar See you all October 8th. @WreckinSO is ready to tear it up #keeptalkin #wreckinso #the40 #brandonmanitoba #country #rock #blues,sadness
@SeveChambers i'm elated thank you for your help! can i apply to be verified?,joy
Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food  #praise #gospel #coffey1617,joy
@SteveStratford9 @PaulTowheyJr @ClassicDrWho @BBC @bbcdoctorwho all those will get animated IMO. Companion changes/Monsters/Classics.,joy
@reinervshunter you got this #staystrong #smile #yourebeautiful,joy
If you think you're good to go already don't worry about it.,fear
How is your toddler coping with the new arrival? Has he tried killing her yet?' they cheerfully ask.,joy
Watch this amazing live.ly broadcast by @jaredhorgan  #musically,joy
@TokyoSexPolice can I get away of this wrath by reading manga instead of watching overdone anime,anger
7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray,sadness
🍦🎿 god chirp this burp 🎿🍦,joy
Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 #terrible,fear
@NeoFundie @fitchest Ha. Right. I'm from San Jose CA and I was offended right there with you. Dave go on a walk or something next time.,anger
even if it looks like we are okay  the reality of that is were actually very worn out and forlorn,sadness
Andrew's hands start shaking and he says 'I hope I die.. like right now',fear
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,fear
@rsiereilly my heart did the flutter,fear
someone come to fright world w me🤗🤗,fear
The return of Matt Damon and of director Paul Greengrass brings back all the exhilarating if rather po-faced entertainment to a movie,joy
@DarbyHogle the red one would look super pretty with a bronzy glowy nude lip makeup look! 3rd black would be pretty with a dark lip! 😍,sadness
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,joy
The best revenge is to move on get over it and continue to succeed. Never give someone the satisfaction of watching you suffer.,anger
When something makes you excited terrified thrilled nervous elated &amp; like you've been kicked in the guts all at once. Need word for that,joy
Accept challenges in life so that you may feel the exhilaration of victory.,joy
@chrislhayes It's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. This guy is nuts.,sadness
It appears my fire alarm disapproves of my cooking style,fear
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',joy
Heyyyy warriors!!!!!  #panicattacks,fear
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,fear
the Lord turn his face toward you and give you peace. Numbers 6:26 #truth #trust #promise #calm #justice #great #mighty #protected #delight,joy
I freaking hate working with #word on my phone  #write #writing #writerslife #writerproblems #writer,anger
@RealestCastiel just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol,joy
Step out of your comfort zone. \nGo for risks.\nFace things you fear. \n\nThis is when life starts to happen.\n\n#cpd,fear
@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy,fear
@Ashleyavitia_ don't leave me,sadness
@RoseTintMyWorId fucking hell mate absolute nightmare 😓,fear
@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.,sadness
Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired,sadness
Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert,joy
@AASadeq I scare people even when I'm suspended? LOL,fear
Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,joy
@TweeriaLee A stumbling block to the pessimist is a stepping stone to the optimist.,sadness
Be free and open and breezy! Enjoy! Things won't get any better so get used to it.,joy
remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,anger
@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??,fear
Ooh #hygge candles jasmine tea &amp; #GBBO #happy,joy
Going off reports on Sky Stoke played ok tonight. Think i'll stay off the messageboard tonight though -it will be grim on there :/,sadness
why won't you let me go? do i threaten all your plans? im insignificant,fear
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation,anger
Id love 2 c Gyimah in action but his coach is holding a grudge against him!,anger
@OnyxFlare25 She chuckles shaking her head. 'No...I just have a really vivid imagination I guess. It happens when you meet someone&gt;,fear
Will WHU be old bill free by the time the game with Chelsea comes around? 😂 😂 😂\nThat will be lively to say the least\n#AFC,joy
#Determine to #start putting the Word in your #heart #consistently. Every day a #line here a line there--a tape here a #tape there 💨,fear
@mehnazt @Mel_Harder I live a life devoid of mirth. Come to think of it there aren't enough taco bowls in my life either.,joy
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious?,fear
#burning the last of @Yan,anger
jesus ok an alarming percentage of my teachers ths year dont have a  s ingle thoughtful bone in their bodies . its gonna b an interesting yr,fear
@VivYau is it all doom and gloom? I only want to hear lovely things about airbnb!,sadness
One more day tiff.. One more day!,anger
I honestly feel nothing towards either of my parents and it's pretty depressing,sadness
Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting,joy
@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger
I am about to be a coward and I feel terrible. But I can't even face this 😭,fear
If a friend lost his/her phone how long do they have to mourn their lost phones before you ask for their earpiece?,sadness
McDavid breakaway. Lundqvist with a tremendous save.,fear
@metrotrains why is there no disabled access at pontefract monkhill?,fear
@PaulJonMilne too grim too insanely determined to hurt you from,sadness
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness
@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.,anger
@DKTaylorWriter I thought that was funny too. But maybe not such a coincidence. Green must be the official color of optimism.,joy
That last minute was like watching a horror show #GBBO 😥,fear
@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,anger
@gayla_weeks1 I try not to let my anger seep into reviews but I resent having my time wasted on books like that. Time is precious.,anger
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,fear
One way ticket to the blues.,sadness
To tell the truth and make someone cry is better than to tell a lie and make someone smile. #truth #lie #cry #smile #offalonehugots,joy
@rickygervais my first time in Slough so checked out the new station floor #sad #LifeOnTheRoad,sadness
Candace &amp; her pout are getting right on my tits #GBBO,anger
I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit 😭,fear
A MOMENT:\nIf you kill it in the spirit it will die in the natural!!!'-@PRINCESSTAYE #murder #suicide  #racism #pride,sadness
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear
@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,anger
I'm excited for the #FirstDayofFall &amp; the rest of the season. I have 2 #Halloween #scare events I'm covering for @ThrillzCo in the next week,fear
@holly_lolly7 I just have serious respect for any man that can pull off a bun better than I can like maybe they can teach me their ways.,sadness
The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3,sadness
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy
@PanicAtTheDisco hey y'all announced it like immediately after I asked. Nice. Thanks y'all #panic,fear
@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,joy
Excited and nervous for Tuesday,fear
Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB,sadness
in geometry today hannah started crying of laughter because ms. canning said 'pp' lol,joy
I'm okay dont worry. I wish i'd been a better kid. I'm trying to slow down. I'm sorry for letting you down.,fear
@Dominos_UK worst thing is i have confimation from them,anger
@chocorobos I have this one so I'm not so sad.. but wtf,sadness
If I could turn anxiety off--I would. #nooneunderstands #anxiety,fear
Friday is here and we are open tonight and tomorrow. Get a jump on your Halloween and come play with us. #hauntedattraction #tulsa #haunt,fear
@Cherie_Fitz it's being extremely playful,joy
Insomniacs can't get sleep cuz they are too guilty about all the horrible shit they do. I'm a complete sociopath n sleep like a baby.,fear
T minus 10 hours till I meet with a designer who wants me to model his new fashion line 😬😶 !!!,fear
Special thanks to @hamsterwatch &amp; @UgotBronx for keeping us updated &amp; entertained this dismal BB season 💕,sadness
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake,fear
@carysmithwriter @Maria_Savva @RealRockAndRoll We're the least known band in the World but so glad you asked #muchlove,joy
where broken hearted lovers do cry away their gloom,sadness
Michelle is one of the worst players in bb history #bb18 #bbfinale,anger
@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness
This is awful,fear
@Nataliem55 sadly war has often been the factor that jump starts US economic growth,sadness
Defination of a best friends..!!! \n\na person who opens his mouth just to #insult yu..!! :D :D :D,anger
Aberdeen st Johnstone let's see who can punt it the furthest,fear
Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm  #snapchat #snapme #nudes #dickpic #cocktribute,anger
@Jen_Lee @mostlymartha @edotwoods we just found thin mints in a freezer clean. i couldn't be more elated.,joy
@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything #shy,fear
the bee sting still suck i feel sick,anger
Like if you aggravate me constantly byeeeeeeee,anger
At 12:01 Tumblr became sentient. At 1.:02 Tumblr posted gn animated gif about it. At 12:03 Tumblr shipped itself.,joy
also other ppl who i love a whole damn lot; erica joanna tiff sirli harley anja (the rest of the gc bc i ran out of chara!),anger
Well that draw is lively! #EFLCup,joy
@EducatedNPetty white pricks that were laughing at your use of language won't be crying over your coffin but rejoicing that you're another,joy
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house!,fear
@ducktapepr @midnightaction @juliea592 @catherinerusse2 I dread to think... #DirtyPeople,fear
Is there a perfume that smells like the smell of smokey incense because i would be all about that,anger
Happy 69th @StephenKing! May u keep haunting us for many years.  #writing,fear
Sejejs says Cibulskis missed time in 3rd period due to an injury. Wouldn't comment on how serious it is. Apparently not a doctor.,sadness
. @UNFCCC @uncclearn The problem is the time it has taken to do this means its going to be out of date already. #sadly,sadness
@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour,anger
Tired of people pretending Islam isn't one of the most misogynistic religions it's no coincidence Muslim countries are terrible for women.,fear
I walked 3.4 miles today the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay #nervous,fear
tbh amy i don't know why you need to sort your life out it's looks like your having a great time' thanks tiff 😂💜,anger
@JuliaHB1 Bloody right #fume,anger
SOMEONE LET SNAKES IN MY HOUSE I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2,anger
revenge,anger
@troyesivan I'm eating sushi I'm shaking for you,fear
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness
realising you have no conditioner after already shampooing 😓😓 #nightmare,fear
@URClassless I think that yawning actor died of a drug overdose. #glee,joy
Bloody hell Pam calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet #perilsoflivingalone,fear
Dylon felt dejected. He has a dejected aunt!,sadness
#bcwinechat what's the most common method used to make BC #sparkling #wine?,joy
gonna eat pick up my brother get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼,anger
i'm... nervous about this test rip,fear
Don't be #afraid of the space between your #dreams and #reality. If you can #dream it you can #make it so,fear
How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc,fear
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
#bcwinechat what's the most common method used to make BC  #wine?,joy
@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,fear
ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax,fear
@PAKallman If you get it going with him tag me the link please. I have a lot of friends who love following his unintentional hilarity.,joy
@DP3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you,anger
Annoyed with @TripAdvisorUK bullying me to download an app that eats my phone memory. Will seek alternative from now. #bully #tripadvisor,fear
@daemondave @paulkrugman Hey stupid that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?,anger
@iAmSJ I'm so mad for our clients I'm furious lmao,anger
Listening to Joey really helps me and my anger.,anger
Transitioning to a new job is hard when you have nothing but joyful memories of the previous one. Thanks @LifeTeen for changing my life! ❤️,joy
@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare,fear
@DailyMailCeleb @KTHopkins Katie I love how you describe yourself as 'normal'. Really you're anything but!  #neverchange,joy
@sreeniv51294598 hahaha dear d not worry discuss,fear
Your twitter picture just makes me fume.,anger
seek to conduct attacks against Israel intended to provoke a reaction that would further inflame feeling within the Islamic world”. •,anger
I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous.,sadness
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,sadness
It's never the end / When the moment is dire. / A small spark of hope / Can relight a new fire.,fear
Looks like #India is finally taking #Pakistan n it's #terrorism to task.#uriattacks.,fear
@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger
Tonight my top delight was a Skein of Geese flying about 1 foot above me as I swam in #Windermere. Breeze dropped &amp; it became like glass.,joy
Threat factors in respect to provocation bulb worm: BnQo,anger
The most important thing to #bestrong is to hold your #anger #thoughts,anger
Go one extra mile just see her smiling,joy
@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
Oh goodness I'm loving this rainy  day. It's a head down #creative cap on &amp; get #lost in your #thoughts kind of day 💭 ☺️ #art #create #biz,sadness
@marthalyssa yep. LOL,anger
In dire need of a worship session to just let go of everything,fear
Harking back to 2012 - DT's challenge to @POTUS...I will give...DT a hearty thank you...if he will release his tax returns....,joy
@xxnogard_G88 Welcome to the  dark honey !,sadness
Watch this amazing live.ly broadcast by @__.mila.__  #musically,joy
The cure for anxiety is an intimate relationship with Christ. - 1 John 4:18,fear
@KWAYNTjoia it's exhilarating,joy
Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger
It breaks my heart seeing people down or upset.. I will try my best to make them smile or cheer them up 🤗,joy
Wanted to get him a cake with sparkling candles but he doesn't like cake😒😒. Ruins everything,joy
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,fear
@CNNnewsroom @BrookeBCNN What can't you grasp? Besides yr cognitive dissonance raging away. Each. Incident. Re: LEO-shooting = SEPARATE.,anger
I've learned to let go of resentment for people who have hurt me because keeping it is like swallowing poison and expecting them to die.,anger
@devenmiddleton i'm totally loving it it just makes me sad when people feel super awful cuz they aren't abroad like life is still goin,fear
@_stardust_3 unless your concern is people figuring out who you are for wtvr reason I don't see why you shouldn't tweet about other things,fear
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,sadness
After #terror our leaders say 'Don't jump to conclusions' but [in matters of #racial unrest] they are silent. Why is that? @greggutfeld,fear
🍃When #life shows you have a hundred reasons to cry show it that you have a hundred and one reasons to #smile. 🍃 #quotes @Mind_Console,joy
She was so posh it frightened me. I'm still scared.,fear
@kimdelacreme_ @Srgohdatzme305  I'm there... let me know #sober,sadness
Thoroughly enjoying AHS tonight. #ahs  #americanhorrorstory,fear
No sober weekend 🙂🙂🙂,sadness
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol,fear
Every time people push #Prescription Pot prohibitionists rub their hands with #glee because U hand them #Cannabis &amp; yourself into #slavery.,joy
Loving @challengesophie @TEDx talk #challenge #fear #map #inspiration #stayunstoppable,fear
gifs on iOS10 messaging app are hilarious.,joy
were sat in my sat room cloved watchin Manchester Unide @ManUtd v Norffampton do you fink but @WayneRooney is still goal fret at iced level,sadness
@GOT7Official @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7  #birthday,joy
Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable. - Sydney J. Harris,sadness
@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,sadness
whenever I hear concert postponed I think of dismal ticket sales   green day ?,sadness
Headed to Montalvo w/@jaxster3—bring on the #mirth bitches!\nd(-_-)b\n@Nick_Offerman\n@MeganOMullally\n#SummerOf69Tour2016,joy
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,fear
@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?,anger
@kevinmenzel annual reminder that i don't care and will cheerfully eat anything so labeled,joy
Unbelievable from McDavid and Matthews. Lundqvist can do nothing but shake his head #WCH2016,fear
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,fear
@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!,sadness
tones - \n: 1/2 of my favourite chris pine stans. i love tones more than anything mt sweet summer child i will attack anyone who hurts her,sadness
@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/,anger
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.,sadness
@STLouis_RamsFan their whole team is limited when they're on the field.,fear
I can not depict what I feel right now.. I feel jubilant yet anxious or..dunno. It seems like now I'm having something worth wait everyday.,joy
Holding a grudge on someone will stop your blessings from God learn to forgive &amp; forget 🙏🏾,anger
I'm afraid she's the goat you libeling people? #afraid #goat #libeling,fear
@brooklynbreeder \nI could not believe that their answer to his outrage was that they were right. I do hope he takes them to the cleaners.,anger
@NHLstoreNYC  cheering for @TeamNA_WCH and @HC_Men,joy
#Depression has you wanting to change the past #anxiety has you focusing on the unknown future. Neither are about living in the present.,fear
@AimiSyafiqahR go check up with your bf. He'll give u strength with just one smile. #TOPno1,joy
@tbergg1 mine are good rn gonna be horrid after next week,fear
@Daniel_Sankey @hayleyp79 Haha.... Actually after the Doggies I'm barracking for Anyone But GWS! #bitter,anger
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson,fear
How can I tell Happy Anniversary when u are not happy.. #bitter #ampalaya #paitpaitanangpeg,anger
I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross,anger
@bradshawjp Sweet! #optimism,joy
I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic,fear
@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage,anger
From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding,sadness
Whenever I'm feeling sad I will listen to monsta x and hug my teddy bear and I always feel better,sadness
@ajjaffe @MattMurph24 @nickspencer I was under the impression that stop and frisk was a concern to many in NYC. Didn't deBlasio rein it in?,fear
@camilluddington the fact that YOURE nervous makes me want to crawl in a hole,fear
Bloods boiling,anger
Even after @O2 ref the £5k fraud they still treat me like dirt. No returned calls or apology #shocking #customerservice @mse @resolvercouk,fear
Well this is flipping great! Flipping standstill on the freeway! #anxiety #stepofftheledge #youvegottobekiddingme,fear
I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.,fear
Despite my sharing O'Neill's article what saddens me about the Gazza case is there seems to be more fury about the sentence than the remark,anger
@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter  #bbcnews #skynews,fear
#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.,joy
I'm strong 'cause I'm weak\nI'm beautiful 'cause I know my flaws\nI'm fearless 'cause I've been afraid\nI can laugh 'cause I've known sadness..,sadness
Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness,sadness
Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness
@BoardEveryday @turnorder @pinchback21 80s new wave/techno - or jazz / blues depending my mood,sadness
He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP BLA &amp; MQM.shame #ZH,fear
Most Americans think the media is nothing but Government propaganda BS. #lies #control #BS #RiggedSystem #distrust #garbage #oreillyfactor,fear
@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg #terror,fear
@Olajide_Shutti lmaoo. It will be a joyful day.,joy
I like the commercial where @kohara19 on a chocolate milk bender steals a soccer ball from some guys and refuses to give it back. #bully,fear
#ParentsofAddicts: let #wellness be your #revenge! -Al Anon speaker,anger
“The essential Saltes of Animals may be\nArkham’s large outfit from any effects he\nI rejoice that you continue in ye,joy
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage,anger
@NoorBazzi14 lowkey I want to go just to chirp Anna LOL but say hi to Atkins for me!! One of my favourite coaches he's smart and caring,joy
Yet again another night I should've stayed in😊,sadness
@SageHillfarms @HintonAlisa @hb_heather Hey Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?,anger
No one wants to win the wild card because you have to play the Cubs on the road.,sadness
@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger
@LaneWoolery @FFKazman experience all plays a role in that it's education and preparedness not fear,fear
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv.,anger
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger
a panic attack AND CALL YOURSELF A REAL FAN makes me so mad like i dont even have the words to explain. this is why some people give no +,fear
@kagehime3 I'm so starved for content I'd take it but I'd def pout about it (՟ິͫઘ ՟ິͫ),anger
Watch this amazing live.ly broadcast by @flydudern  #musically,joy
Hate when guys cant control their anger 🙃🙃,anger
@astockeyWTAE @SonniAbatta she is terrific at her job where is she headed-- I missed that?,fear
Idk why but this Time around its so hard that it hurts I already miss them all so much #silly #family #friends,fear
On a side note if you are self medicating ? That's not helping that is burying the anxiety that WILL manifest in another way. Heart disease?,fear
@BertGatti not had much to cheer about you see 😜😂😂,joy
my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl,anger
Had to give my 11yo AfAm son this advice today: 'be polite no sudden movements keep hands where they can see them'. #sadness,sadness
Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML,sadness
@Eeevah14 don't I know it try not to fret my sweet little pupper,sadness
The terror threat level really need to be raised,fear
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy,sadness
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger
I'd rather die alone then end up with somebody who can't be sober,sadness
@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n#Trump #horror #scifi #ccot #p2,fear
jimmy_dore: RaisingTheBoss we've already lost our country and our government to oligarchs but their fear tactics still work it appears.,fear
@debutemma I dont have to sit here and take this from u spry young children,joy
A presentations propensity for hilarity plays a large part in determining it's funny/offensive ratio and how well such thoughts will go over,joy
2 days on.......never a fucking pen!!!! #nffc #bitter,anger
Fosu-Mensa is having a nightmare 15 minutes. Difference between Premier League reserves and League 1 is still wide,fear
Way towards be prominent if your exasperate is peaked?: TGMbNqUEe,anger
@ananavarro @tcarrels most of Trump supporters have not clue about the meaning of the words they used just like him #sad #nevertrump,sadness
And here we go again 😓 #restless,fear
@scotydoesntkn0 start buying Death Wish Coffee and shake hands with espresso every now and then.,fear
.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling …,joy
@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin,anger
Accept the challenges so that you can feel the exhilaration of victory. -George S. Patton,joy
#soywax limited edition horror candles going up @scentedscreams! Follow us for all the latest news!!,fear
@CBSThisMorning @newsgirl123456 again profiling DOESN'T discourage (September 20 2016; 18:41 EDT)  #TRUMP #FAIL,fear
#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves,fear
Halloween party coming soon! #turnt #ruinT #lit #firesauce #hotsauce #mildsauce #getsauced #champagnedreams #scary #haunt #kittens,fear
Don't be offended  I'm just doing something that  Gives your life more hurts.\n\n#haikuchallenge #offend #poetry,anger
