Tweet,Emotion
if you get called shy this mean you are considered turn those negative to positive quote marniemccormack from jpmorgan womenintech,fear
we have left maine sadness,sadness
followback quote_soup be happy not because everything is good but because you can see the good side of everything,joy
learning how to use twitter lost,sadness
i don want perfect it too boring and dull,sadness
conorojo loool understand the pessimism but it will,sadness
some of these fb comment and or tweet should make some people realize why black american feel the way they do terrible,fear
neofundie fitchest ha right m from san jose ca and wa offended right there with you dave go on walk or something next time,anger
zeth voice hit the target hold up upside down cheering towel,joy
watch this amazing live ly broadcast by brooks_swaggysquad lively musically,joy
and there you go after that wild start wouldn be surprised at all if sweden win this game too much experience there to panic,fear
who like werewolf and horror and surfing because breaker over on readstela ha all that and more,fear
rowillfindyou eric couldn help but laugh though that made him wince in pain it hurt lot he just wanted to sit down somewhere,fear
some question you get on twitter make you want to despair we ve been so battered we complain but aren convinced thing could be better,fear
_briannax thefunnyvine marielalynn_ karengutiii_ gotta shake the booty instead though make sure it all good,fear
realdonaldtrump negative campaign of doom and gloom don win election,sadness
a smile can mean thousand word but it can also hide thousand problem fact teamfollowback,joy
the best revenge is to move on get over it and continue to succeed never give someone the satisfaction of watching you suffer,anger
haileywiggins_ flenner_alisha good take more muscle to frown than smile,sadness
watching football match without commentary is something that rejoice found transmission of city match like that today joyful,joy
i am going to make it my life mission to discourage anyone from using capitalone they will rob you blind,sadness
come to the funeral tomorrow at to mourn the death of my gpa,sadness
this ha been the most depressing week full of rain ever lol,sadness
omg actually thought she wa going to jump southpark southpark,fear
bigdaddyx awe m sorry have dog cat amp snake,fear
lmboo using my nephew for meme,joy
rkuuleiq fear is best beast product of god atheism theism bible christianity hell heaven purgatory psychology jesus,fear
susan_wilde oohincensed thecanarysays no kinda offended that you had to ask,anger
start the convo don shy away mental illness abounds in society including our workplace be informed tsdoffsite,fear
stay jaded everyone is,fear
the immense importance of football is sometimes scary when you don win you are responsible for so many unhappy people arsene wenger,sadness
rocksolidshow pat_francis revolting cock if you think m sexy,fear
research ha determined of laughter is actually anxiety,fear
rockcock cum and despair,sadness
crucialbmxshop ohh silver lake came up lot on there is that where you guy stayed,sadness
jonnyowenfilm ringsiderobbie can you remember that train sunday after froch kessler,fear
when you lose somebody close to your heart you lose yourself a well,sadness
i refuse to be chirp chirp girl,joy
unhumanrights undp_pakistan wat an irony pakistan lecturing the world on curbing terrorism,fear
i get so angry at people that don know that you don have stop sign on francis and you do at foster road rage,anger
remember when that guy got angry that kept saying gary sanchez wa the best baseball player in the world lmao,anger
wtfisahashtag muslimiq the problem is that right wing extremist terror group aren given coverage press not interested,fear
kohara it a rare land octopus be very afraid,fear
can someone make me priority list of which thing should be outraged at in which order outrage racism animalrights abortion cop,anger
i ve said it before and ll say it again it god all god only god archippusawakening entirelybyhisgrace,fear
berniedole look that way but let think about rohan last week,joy
on my life ll never understand why anyone would pay money to see lifeofdesiigner terrible,fear
you insult the late sherri martel,anger
he maketh the barren woman to keep house amp to be joyful mother of child npraise ye the lord npsa,joy
obyezeks nwe can forget past but while we apprehend and punish culprit of the past are we going to allow present to slip away,fear
i took yr off school and m proud to say got accepted again yo girl is going to finish,joy
being shy is the biggest struggle of my life,fear
atrumping hahahahahaha oh gosh you are hilarious black man trying to keep racism alive get out of here man,joy
maxvenator we ve had no foreign policy but have had goofy secretary of state john kerry with his devil may care pose and jaunty blue scarf,joy
i strong cause m weak ni beautiful cause know my flaw ni fearless cause ve been afraid ni can laugh cause ve known sadness,sadness
burning the last of yan,anger
it so funny cause cooper going to go farther than the people who bully her,fear
tweet_faver it reaper before he became reaper you can find their story on the wiki and thru the comic and animated short,joy
sethwieck you should do ted talk on bubledygook m sure you could convince the mass to distrust those decrying ted talk,fear
these grown as lil boy yeah can take them serious,sadness
anger resentment and hatred are the destroyer of your fortune today,anger
torrebe te gusta american horror story the walking dead,fear
i always thought wa too empathetic but it becoming clear that the majority of you guy are plain insensitive to an alarming degree,fear
some people already talk about halloween nyou ll get some dark music to go with it gothic bloody halloweenhorrornights,sadness
she why are you listening to the eurythmics nme it a polish gothic metal band nshe why do even ask exit room shaking head,fear
eurekaforbes got to kidding me anu from your firm responded when sent the contact detail customerexperience,fear
thanks for making our mass with fr vallely respectful meaningful and joyful acsscrusader assumptionhcdsb seewitheyesofmercy,joy
hey long time no tweet but im rooting for paul to win bc he is the only one that played bb and james for nd bc he doesnt irritate me bb,anger
dmanthonyjoseph theclumpany no grudge only truth in abundance,anger
devilligan it a beautifully sincere balancing act of grief and hilarity,joy
that feeling you get when you know the information but scared you might do bad on test collegelife nervous,fear
riotzxvl papercuts sting and stub ur toe last for like sec,anger
jamiesmart huh it always my fault isn it gt sulk,anger
thank you disney themed episode for letting me discover how amazing the blackishwriters are,joy
depression suck,sadness
matildaswish it great to see matilda so happy in her new chair it will provide her with access to lot of new experience smiling,joy
i wanna go to blithe and read the goat,joy
candace amp her pout are getting right on my tit gbbo,anger
i get so nervous even thinking about talking to wanna die,fear
i throwing myself straight into american horror story so don have time to grieve,sadness
don let worry get you down remember that moses started out a basket case lol ntoday choose faith over moses,fear
trashcami this cured my depression,sadness
the patriot have the lamest color rush jersey in the whole nfl madden hope they wear them tonight,anger
saclivin mrscagg specific amp intentional way and part of that intention is to provoke conversation around systemic racism towards black,anger
i curious to know just how much money the original air bud made to justify the continuation of these awful sequel and spinoffs,fear
uber_rsa when you click over and over again for cupcake but there are no vehicle available sadness,sadness
also other ppl who love whole damn lot erica joanna tiff sirli harley anja the rest of the gc bc ran out of chara,anger
just popped half bottle of bellawines sparkling gamaynoir from westbank evenin folk bcwinechat,joy
when you want to say something so bad but can furious,anger
kcbbcxo don get discouraged it early on amp it can get overwhelming keep reading amp use cue card it ll get better,sadness
i am their fury am their patience am conversation,anger
aamnaa___ drkarthik_n your per caput income is almost same like u gini coefficient is very dismal ambition are high but output zero,sadness
everyday gay panic is stunning drew guy att to it when he blocked up toilet stall crack paper towel total incomprehension,fear
it a gloomy as day,sadness
midnight endtrumpweek please it depressing me,sadness
close to the end of revision taking this story love in new direction ha been exhilarating for me endlesspossibilities amwriting,joy
a hearty thank you to you all for joining in tonight some delicious british dish on your menu beerclub,joy
i wouldn wish anxiety and depression even on the worst of people it not fun anxiety depression,sadness
the whole idea a nation revolves around kashmir amp global terrorism evrn don care their kid dying of hunger nawazfightsforkashmir,fear
yonahimes they never posted stuff like this ni mean wa able to scroll over it so it wasnt big deal but it wa,fear
style to love now at zales three sparkling style to love stop by and shop in store today,joy
so jeffprobst those of u born in have no generation where is the gen le tribe ha survivor lost sol,sadness
what an exhilarating last minute of overtime wch,joy
attentialgatto lol why would it scare me it doesn make any sense at all but it doesn scare me chuckle,fear
michelle is one of the worst player in bb history bb bbfinale,anger
and it hard to dance with devil on your back nso shake him off,fear
even after o ref the k fraud they still treat me like dirt no returned call or apology shocking customerservice mse resolvercouk,fear
a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,sadness
ppl like that irritate my soul,anger
jackcurryyes he just lucky bad pitcher whatever elkracken is legit future bright gottawearshades letsgoyankees,joy
jamienicks_ it make complete sense and m elated to hear this,joy
when you lose somebody close to your heart you lose yourself a well lost,sadness
of cheerfulness or good temper the more it is spent the more of it remains,joy
staff on ryainair fr asked for info and told to look online you get what you pay for ryanair stn_airport compensation awful,fear
like keep grinding boy your life can change in one year and even when it dark out the sun is shining somewhere,sadness
thiza what happens now when you tell him you re pregnant via home test amp nurse later tell you it a false alarm amp bae is too excited,fear
skiving fresher for me day nail sunbeds and gym priority student studentnurse pampered happy,joy
woah that overtime wa exhilarating out of my seat and the hand on mackinnon wow wch,joy
ya boy get mad tired of pine tree,sadness
tj_fasho lmao clown my own hair m going to dread lmao,fear
unixware skydrive cokie hearty exactment blame online hephxho,joy
officialshaky operation echo is gathering momentum tense feelsick excited,fear
macmacm jeezus god dark,sadness
gopro your ux online is appalling no clear save button not being able to use any generic tld unhappy,sadness
how am supposed to intimidate the freshman if half of them are taller than am,fear
success is the best revenge whatever you re thinking about doing do something better,anger
skysportsrl would just get some decent referee shocking,fear
very long day thank goodness for bake off to brighten up weary wednesday gbbo,sadness
am very old person can handle some stuff lol just left her there get back to me when you re sober,sadness
go follow juspopmolly on snapchat that hoe sitting on the sink right now cocaineandtacos,sadness
listening to joey really help me and my anger,anger
soboleskih okay this is hilarious,joy
your twitter picture just make me fume,anger
lmao this person must hate me so bad to talk shit behind an anonymous account awe,fear
mannym daretoreagan oh yeah hate the air raid and don like the oregon baylor offense and m not fan of the ole miss one either,anger
me and these burn that pick up off the pitch don get on at all like,anger
nick_offerman ll be there can wait for all the,joy
bkero whispersystems which really suck because typing on mobile device is always horrible and hate it,fear
i would like to congratulate the people of saudi arabia happy and joyous national day may you all have great time اليوم_الوطني,joy
in bangladesh war u almost bombed u had russia not been there what strategy for china on pakistan time ripe to crush terror camp,fear
dubai try asking for cheeseburger with only onion amp mustard at any mcdonalds,joy
kevinmenzel annual reminder that don care and will cheerfully eat anything so labeled,joy
taking break from the wedding to rage at the general stupidity of certain people on the internet,anger
flat party and instantly get bollocked about it fuming,anger
last lgcanada product buy promise absolutely terrible customerservice,fear
how sad is it that m rejoicing over collegekills,joy
_stardust_ unless your concern is people figuring out who you are for wtvr reason don see why you shouldn tweet about other thing,fear
incredible that nawaz sharif said pakistan is victim of terrorism amp talked abt development in pak incredible how he controlled his laughter,joy
defination of best friend na person who open his mouth just to insult yu d d,anger
new play through tonight pretty much blind run only played the game once and maybe got level it rage,fear
ctv_powerplay lraitt horrid disease my maternal grandmother and each of her sister suffered from this affliction it hard on all,sadness
tomorrow is the day cut and dye my hair excited,fear
shy glizzy ride,fear
mchorsefayse bockaguyjim generalgoodsman nevernotdavid so you were owned by loser on twitter,sadness
goodmorning fam do you know that your critical condition pave way for your miracle so dont be happy,fear
ashitanojoe m not big fan of mkatju but what found logical and right support that no offense to anyone,anger
do you know how much it hurt to see you best friend sad,sadness
justpyronow are you gonna do any kind of community raid when wrath of the machine drop,anger
johnwintertweet dude who wanna play some bass but not buy bass me rejoice,joy
squishyjiminie aww thank you m definitely feeling much better today and your message cheer me up too,joy
transform your hardship into burning desire to succeed never fear failure without it there would be no success spx fintech,fear
billmaher realdonaldtrump wa right and you two have very similar stance against radical islamic terror time to anoint the orange one,fear
talktalkcare how on earth can send an email to you very annoyed customer fuming,anger
exaltedchampion the jest kara didn chuckle instead her baby blue were narrowed in on adam like warning if his brain wasn,sadness
i assume that people pick up on my joviality coz lol lot but it just not working maybe need to get heavy handed with emoticon ha,joy
holding grudge on someone will stop your blessing from god learn to forgive amp forget,anger
tweetermeyer the animated version wa better,joy
forgiveness might make u look weak but the weakest person is the one who hold anger hatred and revenge,anger
honestly today just felt like maybe track isn for me,sadness
sober life,sadness
ajjaffe mattmurph nickspencer wa under the impression that stop and frisk wa concern to many in nyc didn deblasio rein it in,fear
caeruleusv atheist_penguin misogynaut threaten you because can pussy,fear
realmichaelkay annoys me to about the ortiz tribute too how would the oriole fan and organization feel if yank did that to them awful,fear
troubled soul don loose your heart cause joy and peace he brings and the beauty that in store outweighs the hurt of life sting,anger
despite my sharing neill article what saddens me about the gazza case is there seems to be more fury about the sentence than the remark,anger
pull over tonight and make your car shake,fear
i wish could live in all reality where can grieve over people never met to bad got brother dying left and right,sadness
the world drive whoever it ha assessed a tenderhearted or vulnerable to build up their guard amp invigorate raging self defense mechanism,anger
i buying art supply and m debating how serious is it to buy acrylic paint,sadness
coincidence when you turn on the tv etc amp listen amp watch the objective is to captureyourmind with fear amp depression findgodnow,sadness
cbcnews canada should be driving force of democracy freedom right instead we help dictator misogyny sharia islam terror polygamy,fear
ofc_aldubqc glad you gained some cheery vibe just by looking at our happy meal,joy
if cop is going to pull gun on you for no reason at all and threaten you you should be able to merk his as and walk away,fear
everybody talking about the first day of fall but summer is never gonna die revenge drake,anger
viquintis oh yeah never showed you that part of the session did i ll plop them into discord pure hilarity,joy
lol no mention of pak pm or even his speech on any international news channel and pakis are rejoicing a if the world stand with them,joy
why do people gotta start so much drama shoot me,fear
gerfingerpoken rage the crookedcourt said rage many time to explain away the brutal killing of petits by hayes amp komisarjevsky,anger
the neighbor dancing in the clayton home commercial is me,joy
hour bus ride make me sorry,anger
okay ahve to start mob psycho today if dont im going to fight myself,fear
bear_ing you asshole you made me sexually attacked to animated bear p,joy
i envy ice at least if you give it warmth it melt taylorlautner twilight hilarious quote,joy
pedimghhms sickle cell if right pt background or could be jia or an allergic reaction to bite g bee sting among others,anger
t minus hour till meet with designer who want me to model his new fashion line nervous,fear
interview preparation hate talking about myself one dull subject matter yawnoff,sadness
yo gurls dm for tribute snapme dm nude tribute cumtribute cock snap cum swallow,anger
david_garrett quite saddened no u date no joyous anticipation of attending dg concert since happy you are keeping busy,joy
fosu mensah is having complete nightmare it the reason all northampton attack come from the left,fear
anthonyweiner distraction what is really going on selection election syria terrorism race riot gascrisis nodapl rape,fear
_adam_price walespolitics am afraid you re at back of bbc queue editorially trumped by ron davy and bicycle path,fear
i animated little thing might post it tomorrow since itll be good thursday nice,joy
harry_styles hope you never go day without something to make you smile you deserve all good thing please follow me n,joy
never let your fear decide your future nhave an amazing thursday nlove miss x,fear
accept the challenge so that you can feel the exhilaration of victory,joy
there is nothing like being in the shower when the power go out creepy,fear
watched tna for the first time in long time what the hell happened to the hardyboys impactonpop wwe,fear
bestadvice from movienight pickup the phone amp start dialing no will knw startup product service if thy dnt tell the world,fear
it the most magical time of the year xmas party announced and the outrage commences gotta love silicon valley millennials,anger
accept the challenge so that you can literally even feel the exhilaration of victory george patton,joy
pet but the end of all thing is at hand be ye therefore sober and watch unto prayer,sadness
ksmitely citizenmeh feel strongly that we need to work together to right this dreadful wrong,fear
the ending of how met your mother is dreadful,sadness
ok yes get it a much a the next guy bike blue amp bbq is frustrating amp loud but these ppl are traveling from all over to come,sadness
can believe virginmedia are putting their price up they already know m struggling to pay my bill amp won change my package,anger
but is it your fault you worked hard and stayed the course until eventually it all paid off no so let it be known and count up,sadness
darklunefantasy wallah my blood is boiling need to take nap ugh,anger
sarahhiggins lokiscottishrap so much animosity towards loki who is fighting the same battle a you surely not the best use of energy,anger
today alarm show how unprepared professor and student are when it come to emergency protocol we don know where to go calstatela,fear
brianabanksxoxo send ya few playful nibble,joy
now that jasmine_wrn ha snapchat back it a constant battle to see who can get the ugliest snap of one another snap survival,anger
itwontcostmuch_ bed done floor will be done last curtain hah she tried to sound all happy and cheery but she really wasn,joy
kennycoble rosie these horrific situation will only get worse if trump is elected vote hillary,fear
love the new song can stop thinking about you by sting,anger
jacqueline_ haha she did well today can get beyond her pout annoying me m afraid,sadness
this meth documentary is exhilarating,joy
moocowward mrsajhargreaves melly garybarlow if he can come to my mum th after k tweet then why should soreloser,anger
way towards be prominent if your exasperate is peaked tgmbnquee,anger
set alarm innocentia_t wanna nap but m scared ll wake up tomorrow,fear
watch this amazing live ly broadcast by ittzdevin musically,joy
what a kali kitten she asked frown curling on her fair skinned forehead a he showed her the scar cat did scarredtiger,sadness
people you need to look up the definition of protest what you are doing is not protesting is called vandalism stop,anger
datelinenbc this is sight sound amp smell to behold in person still give me the creep to think about shudder,fear
yesterday is history tomorrow is amystery and today is gift that why they call it the present livelife humbleness smile live,joy
slashersocial horror hll sure did lol nhappy about this decision,fear
he replied to my comment time now m shaking omg,fear
coopah worst than going to the morgue to do positive id horrible reuters,fear
here a tip for everyone stop being offended end offended quit youredumb liveyourownlife,anger
to insure good health eat lightly breathe deeply live moderately cultivate cheerfulness and maintain an interest in life,joy
travelanswerman the possibility endless becca when unplug from the matrix stay salty and happy surfing sunset aloha,joy
theyve substituted the hood for badge and gun public opinion is indictment of charlotte police dark sadtimes america race,sadness
gcc_discgolf lost my xt nova around hole or sadness,sadness
say who are you to compared me with the others m just human lit fire,anger
jonfavs don king is an insult to the intelligence of the black community what are these people thinking,anger
